EAN;Menor preço (R$);Origem;Produto;Link
7908079506795;36.29;DROGAL;Creme para Área dos Olhos Zeta Skin Boost C 15g;https://www.drogal.com.br/creme-para-area-dos-olhos-zeta-skin-boost-c-15g/p
7898414851911;96.15;DROGAL;Suplemento Alimentar Imecap Face 60 Cápsulas;https://www.drogal.com.br/imecap-face-60-capsulas/p
7898687738223;89.94;DROGAL;Suplemento Alimentar Equaliv Cartliv Cúrcuma 30 Cápsulas;https://www.drogal.com.br/suplemento-alimentar-equaliv-cartliv-curcuma-30-capsulas/p
7896094922396;15.99;DROGAL;Analgésico Neosaldina 10 Drágeas;https://www.drogal.com.br/neosaldina-10-drageas/p
7899706129602;78.15;DROGAL;Gel de Limpeza Facial Vichy Normaderm 150g;https://www.drogal.com.br/gel-de-limpeza-facial-vichy-normaderm-150g/p
7791293051598;26.95;DROGAL;Desodorante Corporal Aerossol para Peitos, Coxas, Pés e Mais Rexona Men All Body Deo Bold Spirit 150ml;https://www.drogal.com.br/desodorante-corporal-aerossol-para-peitos-coxas-pes-e-mais-rexona-men-all-body-deo-bold-spirit-150ml/p
7898100243808;13.79;DROGAL;Glicel 1,667g 6 Supositórios de Uso Pediátrico;https://www.drogal.com.br/glicel-1667g-6-supositorios-de-uso-pediatrico/p
7896004702223;24.99;DROGAL;Amoxicilina 500mg Germed 21 Cápsulas;https://www.drogal.com.br/amoxicilina-500mg-germed-21-capsulas/p
7896658024191;122.09;DROGAL;Dual 60mg 30 Cápsulas Duras de Liberação Retardada;https://www.drogal.com.br/dual-60mg-30-capsulas-duras-de-liberacao-retardada/p
7896094917781;94.29;DROGAL;Suplemento Alimentar Ofolato Fer 30 Comprimidos;https://www.drogal.com.br/suplemento-alimentar-ofolato-fer-30-comprimidos/p
7898430192586;41.29;DROGAL;Refil Nasoar 0,9% Granulado Para Solução Nasal 15 Envelopes + Lavador Nasal 240ml;https://www.drogal.com.br/refil-nasoar-09-granulado-para-solucao-nasal-15-envelopes-lavador-nasal-240ml/p
7891150091467;12.89;DROGAL;Shampoo Seda Prebióticos + Biotina 325ml;https://www.drogal.com.br/shampoo-seda-prebioticos-biotina-325ml/p
9002490280901;11.99;DROGAL;Energético Red Bull The Pomelo Edition Sugarfree Sabor Pomelo 250ml;https://www.drogal.com.br/energetico-red-bull-the-pomelo-edition-sugarfree-sabor-pomelo-250ml/p
8429420222397;56.35;DROGAL;Sabonete Líquido de Limpeza Facial Isdin Oily Skin Acniben 208g;https://www.drogal.com.br/sabonete-liquido-de-limpeza-facial-isdin-oily-skin-acniben-208g/p
7896380606337;32.9;DROGARAIA;Tonalizante Keraton Neon Colors - Uranium Blue;https://www.drogaraia.com.br/tonalizante-keraton-neon-colors-uranium-blue.html
791570;973.26;DROGARAIA;SKINCEUTICALS H.A. INTENSIFIER 30ML;https://www.drogaraia.com.br/skinceuticals-h-a-intensifier-30ml-791570.html
7896094906594;75.98;DROGARAIA;Laxante Fitoterápico Tamarine 12mg 20 cápsulas;https://www.drogaraia.com.br/tamarine-12-mg-com-20-capsulas.html
7891548803450;359.6;DROGARAIA;KIT COM 5 EQUINáCEA 500MG 60 CáPSULAS;https://www.drogaraia.com.br/kit-com-5-equinacea-500mg-60-capsulas-818208.html
6015102532506;139.9;DROGARAIA;KIT EUDORA SIàGE NUTRI ROSE SHAMPOO CONDICIONADOR MáSCARA;https://www.drogaraia.com.br/kit-eudora-siage-nutri-rose-shampoo-condicionador-mascara-966017.html
7797942167443;105.53;DROGARAIA;KIT SOUL POWER COCO E CACAU CONDICIONADOR + CREME + MáSCARA;https://www.drogaraia.com.br/kit-soul-power-coco-e-cacau-condicionador-creme-mascara-1015039.html
3439600056655;1299.0;DROGARAIA;Angel Standing Star Mugler Eau de Parfum 100ml - Perfume Feminino;https://www.drogaraia.com.br/angel-standing-star-edp-100ml-817050.html
7898000174318;29.9;DROGARAIA;VITAMINA C EM GOTAS 30ML CELLIV;https://www.drogaraia.com.br/vitamina-c-em-gotas-30ml-celliv-865491.html
7898656390254;169.99;DROGARAIA;Fralda Calça MamyPoko Super Seca Jumbo M 34 Unidades;https://www.drogaraia.com.br/fralda-calca-mamypoko-jumbo-m-34-unid-971525.html
7898130551034;21.41;DROGARAIA;DELINEADOR LíQUIDO CUSHION MODELO 1085 VIVAI;https://www.drogaraia.com.br/delineador-liquido-cushion-modelo-1085-vivai-869333.html
884486456380;179.9;DROGARAIA;Redken Acidic Perfecting Concentrate - Leave - In 150ml;https://www.drogaraia.com.br/redken-acidic-bonding-concentrate-leave-in-150ml-679007.html
7898494593992;1290.9;DROGARAIA;Assento Massageador Neck & Back Shiatsu Seat Plus Relaxmedic;https://www.drogaraia.com.br/assento-massageador-neck-amp-back-shiatsu-seat-plus-unica-842502.html
7898352914921;57.3;DROGARAIA;LEAVE-IN TUTANO VEGANO AVOCADO 200ML - BOTHâNICO;https://www.drogaraia.com.br/leave-in-tutano-vegano-avocado-200ml-bothanico-916333.html
7909463501761;115.88;DROGARAIA;KIT 2X: GRANOLA DE AVEIA SEM GLúTEN ESTAR BEM 250G;https://www.drogaraia.com.br/kit-2x-granola-de-aveia-sem-gluten-estar-bem-250g-870491.html
7898629561230;83.0;DROGARAIA;L-CARNITINE 2000MG (400ML) - SABOR: LARANJA;https://www.drogaraia.com.br/l-carnitine-2000mg-400ml-sabor-laranja-1012936.html
7898661010680;18.99;DROGARAIA;SACHE ONE VEGAN PURAVIDA ACAI COM BANANA 45G;https://www.drogaraia.com.br/sache-one-vegan-puravida-acai-com-banana-45g-999293.html
7898600992541;64.0;DROGARAIA;Catharine Hill Chill Média Cobertura MC04 - Base Líquida 30ml Mc-4;https://www.drogaraia.com.br/catharine-hill-angels-wings-chill-2021-4-media-cobertura-base-liquida-30ml-735196.html
7899706159173;97.5;DROGARAIA;CERAVE - CREME HIDRATANTE - 200G;https://www.drogaraia.com.br/cerave-creme-hidratante-200g-771283.html
869957;49.9;DROGARAIA;Bigens Max Própolis 60 Cápsulas;https://www.drogaraia.com.br/biogens-max-propolis-60-caps-869957.html
993413;282.56;DROGARAIA;COMBO DESODORANTE COLôNIA 75ML + BATOM VOLUMãO GOIABALê 3,4G + BALM LABIAL HIDRATAçãO INTENSA 8G;https://www.drogaraia.com.br/combo-desodorante-colonia-75ml-batom-volumao-goiabale-3-4g-balm-labial-hidratacao-intensa-8g-993413.html
33453;259.9;DROGARAIA;Kit Creamy Skincare Vitamina C Mandélico Hidratante Reparador (3 Produtos);https://www.drogaraia.com.br/kit-creamy-skincare-vitamina-c-mandelico-hidratante-reparador-3-produtos-830825.html
7899572812271;68.99;DROGARAIA;MáSCARA LOLA DANOS VORAZES 450G;https://www.drogaraia.com.br/mascara-lola-danos-vorazes-450g-860009.html
7896658039430;48.67;DROGARAIA;Lur Desloratadina 0,5mg/ml Xarope 60ml;https://www.drogaraia.com.br/lur-0-5mg-ml-xarope-60ml-seringa.html
7896094210134;55.99;DROGARAIA;Polivitamínico Matrion para Gestantes 30 comprimidos;https://www.drogaraia.com.br/matrion-suplemento-alimentar-30-comprimidos.html
6015045329317;77.84;DROGARAIA;KIT 3 MACA POWER 1200MG VITAMINAS MINERAIS 60 CAPS MAXINUTRI;https://www.drogaraia.com.br/kit-3-maca-power-1200mg-vitaminas-minerais-60-caps-maxinutri-1009855.html
3349668588732;928.0;DROGARAIA;Invictus Victory Paco Rabanne Eau De Parfum - Perfume Masculino 200ml;https://www.drogaraia.com.br/paco-rabanne-invictus-victory-eau-de-parfum-perfume-masculino-200ml-964235.html
8809253005198;22.2;DROGARAIA;SERINGA UNIQMED INSULINA 0,5ML AGULHA 6X0,25MM 31G - 10 UNIDADES;https://www.drogaraia.com.br/seringa-uniqmed-insulina-0-5ml-agulha-6x0-25mm-31g-10-unidades-714278.html
7896000724731;15.99;DROGARAIA;Tinta de Cabelo Permanente Cor&Ton Niely - 6.646 Vermelho Cereja;https://www.drogaraia.com.br/cor-ton-tintura-permanente-6-646-vermelho-cereja-1-unidade.html
7898944073517;66.46;DROGARAIA;Máscara De Tratamento Haskell Quina Rosa 500G;https://www.drogaraia.com.br/mascara-de-tratamento-haskell-quina-rosa-500g-832027.html
7898380411164;8.9;DROGARAIA;BROWNIE CHOCOLATE COM COCO BELIVE 40G;https://www.drogaraia.com.br/brownie-chocolate-com-coco-belive-40g-737571.html
58728;475.99;DROGARAIA;KIT 4 NUTRI WHEY PROTEIN - REFIL BAUNILHA 907G - INTEGRALMéDICA;https://www.drogaraia.com.br/kit-4-nutri-whey-protein-refil-baunilha-907g-integralmedica-744494.html
732530;159.3;DROGARAIA;MELHOR LIQUID SUPER ÔMEGA 3 TG 150ML | 30 DOSES ESSENTIAL NUTRITION;https://www.drogaraia.com.br/melhor-liquid-super-omega-3-tg-150ml-30-doses-essential-nutrition-732530.html
866304;585.0;DROGARAIA;GLUCERNA EM Pó 850G SABOR BAUNILHA KIT 2 SUPLEMENTO ALIMENTAR;https://www.drogaraia.com.br/glucerna-em-po-850g-sabor-baunilha-kit-2-suplemento-alimentar-866304.html
880111;54.66;DROGARAIA;TONALIZANTE AMEND SUPéRIA COLOR SEM AMôNIA COR:834 LOURO CLARO DOURADO ACOBREADO;https://www.drogaraia.com.br/tonalizante-amend-superia-color-sem-amonia-cor-834-louro-claro-dourado-acobreado-880111.html
956019;361.5;DROGARAIA;BASE ADESIVA SENSURA MIO CONCAVE 40MM REC 10-35MM - COLOPLAST 18500 CX 5UN;https://www.drogaraia.com.br/base-adesiva-sensura-mio-concave-40mm-rec-10-35mm-coloplast-18500-cx-5un-956019.html
7891317001100;140.84;DROGARAIA;MAQ SUPLEMENTO DE VITAMINAS E MINERAIS 60 COMPRIMIDOS;https://www.drogaraia.com.br/maq-suplemento-de-vitaminas-e-minerais-60-comprimidos-1021458.html
7896512911001;44.95;DROGARAIA;Desodorante Aerosol para Pés Granado Sport 100ml;https://www.drogaraia.com.br/desodorante-aerosol-para-pes-sport-100-ml-granado-839065.html
7899111750231;55.8;DROGARAIA;KIT 2 SABONETES EM BARRA VEGANO LARANJA MADRESSENZA 180G;https://www.drogaraia.com.br/kit-2-sabonetes-em-barra-vegano-laranja-madressenza-180g-985005.html
